year,slug,title_en,title_lt,description_en,description_lt,director,duration,language,screening_datetime,location_slug,poster_filename,trailer_url_en,trailer_url_lt
2026,on-sacred-and-profane,On Sacred and Profane,Sacrum ir profanum Pievėnuose,"A warm, observational documentary set in the small, remote village of Pievėnai in western Lithuania. Once a year, the local community comes together to celebrate Easter by continuing an ancient, centuries-old tradition of keeping vigil in the church through the night, honoring the “Guardians of the Cross.” Through gentle humour and close-up scenes of preparations and the all-night celebration, the film explores the interplay between sacred ritual and everyday life in a modern world and invites viewers to experience an unforgettable Easter night in this unique village community.","Nuotaikingas, sielą šildantis dokumentinis pasakojimas apie paskutinį kaimą Lietuvoje, tęsiantį unikalią, šimtmečius skaičiuojančią Velyknakčio tradiciją. Kartą metuose tylus ir atokus Pievėnų kaimas Žemaitijoje atgyja. Skirtingos kartos susivienija, kad atšvęstų Velykas ir tęstų dar XIX a. raštuose minimą „kryžiaus sergėtojų“ tradiciją. Iš labai arti su švelniu humoru stebėdami vietinių pasirengimą šventei bei panardindami žiūrovus į Velykų nakties misteriją, filmo kūrėjai kelia klausimus apie šventumo ir kasdieniškumo santykį šiuolaikinio žmogaus gyvenime.  Nusikelkime į “Pievėnus ir patirkime nepamirštamą Velyknaktį.",Giedrė Beinoriūtė,80,Lithuanian,4/22/2026 19:30,classic-cinemas-oak-park,on-sacred-and-profane.jpg,,https://youtu.be/jJ7icZeO6MU
2026,the-head,The Head,Galva,"Martynas, who is seriously ill and completely paralyzed, spends his days in a hospice. He has been diagnosed with amyotrophic lateral sclerosis, a disease with a survival rate of less than 10 percent after three years. Martynas' life was far from exemplary, filled with despair, protests, and alcohol. The man who promoted unbridled freedom was confined to bed by illness. Today, Martynas has no control over his body and communicates using his eyes via a computer. In the hospice, he starts a business and a support charity called ""Live Today,"" and becomes a teacher so he can help others suffering from amyotrophic lateral sclerosis. The hospice becomes the beginning of a new life for Martynas, where he finds happiness, meaning, and hope. Martynas' story intertwines with the daily life of the hospice, his friends, family, and the strength, sense of humor, and support of the volunteers and nurses who care for him. Waiting for death here becomes a light.","Sunkiai sergantis ir visiškai paralyžuotas Martynas, savo dienas leidžia hospise. Jam diagnozuota šoninė amiotrofinė sklerozė, kuria  susirgus, tikimybė išgyventi ilgiau nei trejus metus, yra ne didesnė nei 10 procentų. Martyno gyvenimas buvo anaiptol ne pavyzdingas, o pilnas desperacijos, protestų bei alkoholio. Nežabotą laisvę propagavusį vyrą liga paguldė į lovą. Šiandien Martynas visai nevaldo kūno ir bendrauja vienos akies pagalba kompiuteriu. Hospise, vyras sukuria verslą ir paramos - labdaros fondą ""Gyvenk šiandien"", tampa mokytoju, kad galėtų padėti kitiems, sergantiems šonine amiotrofine skleroze. Hospisas Martynui tampa naujo gyvenimo pradžia, kuriame jis randą ir Dievą, ir laimę, ir prasmę, ir viltį. Martyno istorija persipina su hospiso kasdienybe, jo draugais, šeima ir jį slaugančių savanorių ir slaugių tvirtybe, humoro jausmu bei palaikymu. Mirties laukimas čia tampa šviesa...",Giedrė Genevičiūtė,91,Lithuanian,4/23/2026 19:30,lwc-west-end,the-head.jpg,,https://youtu.be/VZEr5oPIQ_M
2026,secret-screening,Secret Screening,Slaptasis seansas,,,,,Lithuanian,4/24/2026 19:30,lithuanian-center,secret-screening.jpg,,
2026,in-passing,In Passing,Sutikau žmogų,"For more than a decade, Artūras Morozovas has been photographing people in vulnerable situations – people affected by the war in Ukraine, as well as people experiencing social isolation in Lithuania. He is exploring social problems that the soviet regime has done to both countries.
In the film, we meet Rita, a mother of three children who lost her husband to suicide and has a disability; Danutė, who lives alone in the forests; soldiers Lisa and Jaška, brutally murdered by the Russians, as well as Ivan, whose home was recently destroyed by a bomb.
Despite Artūras desire to remain impartial and objective, a close bond forms between the photographer and his characters, so the film is about the miracle of human connection and hope.","Daugiau nei dešimtmetį, fotografas Artūras Morozovas fotografuoja žmones, esančius pažeidžiamose situacijose – nuo karo Ukrainoje nukentėjusius karius ir civilius bei žmones, esančius socialinėje atskirtyje Lietuvoje. Filme sutinkame trijų vaikų mamą, dėl savižudybės vyro netekusią, judėjimo negalią turinčią Ritą bei vienišą miškuose gyvenančią Danutę. Taip pat – rusų brutaliai nužudytus karius Lapę ir Jašką bei Ivaną, kurio namai ką tik buvo susprogdinti. Nepaisant Artūro noro išlikti nešališku ir objektyviu, tarp fotografo ir jo personažų susikuria artimas ryšys. Tad filmas – apie žmogiškojo santykio stebuklą ir viltį.",Gailė Garnytė,70,Lithuanian,4/25/2026 13:30,lithuanian-museum-of-art,in-passing.jpg,,https://vimeo.com/1056021385 
2026,ship,Ship,Laivas,"Gerda Paliušytė's documentary ""Ship"" (2025) portrays renowned Lithuanian choreographer Algirdas Stravinskas, framing his birthday party on a cruise ship as a reflection on art, memory, and community. The film mixes archival footage from the 1980s with contemporary scenes, contrasting the artist's past glory with his current life and highlighting the fleeting nature of existence.","Naktiniame kruize artėja šventės kulminacija. Šiuolaikinių gatvės šokių grupė ruošia pasirodymą, skirtą legendiniam choreografui, breiko pradininkui Lietuvoje, Algirdui Stravinskui. Jo gimtadienis – tai proga susitikti kelioms šokėjų kartoms, įvairiems judesiams, požiūriams ir gyvenimo patirtims. Švelnus dokumentinis portretas susideda iš archyvinių Stravinsko kolektyvo pasirodymų devintajame dešimtmetyje kadrų, atskleidžiančių ir to meto restoranų spindesį ir šiuolaikinio miesto naktinę panoramą. „Laivas“ suteikia progą patirti kūrybiškumą, aistrą šokiui ir gyvenimui ir šių dalykų atsparumą laikmečių iššūkiams.
„Laivas” yra apie idealizmą ir kūrybinę aistrą, nepaisančią amžiaus ir laikmečių skirtumų. Šią temą padiktavo praeityje žinomo choreografo ir šokėjo Algirdo Stravinsko gyvenimo istorija: jo įspūdinga ir trumpa karjera, reikšmė Lietuvos šokio istorijai ir jo kasdienybė socialiniame būste šiandien. Gyvendamas taikoje su savo priklausomybėmis, Algirdas ir toliau jaučia aistrą šokiui. Tai diktuoja ir filme vystomą temą: meno ir gyvenimo, utopijos ir buities tarpusavio santykiai ir trintis.",Gerda Paliūšytė,98,Lithuanian,4/25/2026 16:00,lithuanian-museum-of-art,ship.jpg,,https://vimeo.com/929791295/b6b90facb8?share=copy&fl=sv&fe=ci
2026,under-the-red-light,Under the Red Light,Romualdas ir jūra,"A feature-length documentary about one of Lithuania’s most influential photographers, Romualdas Požerskis. One man’s story that encapsulates the broader context of the destruction of country's culture during the Soviet era, which gave birth to collectives of rebellious artists who fought for independence through their art.",,Joris Skurda,90,Lithuanian,4/25/2026 18:30,lithuanian-museum-of-art,under-the-red-light.jpg,,
2026,the-old-mans-journeys,The Old Man's Journeys,Senio kelionės,"Legendary film actor Juozas Budraitis turns 85. Over his career, he has appeared in more than 120 films not only in Eastern and Central Europe but also in Switzerland and Italy. Film sets brought him close friendships and moments of joyful creativity. Yet today, many of his colleagues are gone, and the actor is increasingly visited by the regret of unfinished work. The Old Man's Journey is shaped not by the structure of a traditional biographical film but by the fragmentary nature of memory. The roles he has embodied remain etched in his recollection no less vividly than the key events of his life, and so the film guides the viewer between Budraitis's youthful memories and his most significant cinematic experiences, weaving them into a single, nostalgic stream of remembrance.","Legendiniam kino aktoriui Juozui Budraičiui – 85-eri. Jis suvaidino daugiau nei 120 filmų ne tik Rytų ir Vidurio Europoje, bet ir Šveicarijoje bei Italijoje. Kino aikštelės jam padovanojo artimas draugystes ir džiaugsmingas kūrybos akimirkas. Tačiau šiandien daugelis jo kino kolegų išėję anapilin, o aktorių vis dažniau aplanko apmaudas dėl nebaigtų darbų. „Senio kelionės“ suregztos sekant ne biografinio filmo struktūrą, bet atminties fragmentiškumą.
Sukurti vaidmenys įsirėžė aktoriaus atmintyje ne mažiau nei svarbiausi gyvenimo faktai, tad ir „Senio kelionės“ nuolat vedžioja žiūrovą tarp Budraičio jaunystės prisiminimų bei reikšmingiausių patirčių kine ir susipina į vieningą, nostalgišką atminties srautą.",Nerijus Milerius ,70,Lithuanian,4/26/2026 13:00,balzekas-museum-of-lithuanian-culture,the-old-mans-journeys.jpg,,
2026,to-zita,To Zita,Zitai,"There are personalities who, by their very presence, bring people together to revive and nurture the memory and identity of a nation. Zita Kelmickaite was one such person. This is a journey to Lithuania in the 1980s and 1990s, when the revival of folk songs became a silent weapon and an important part of the road to independence. Using previously unseen archival material and the voice of Zita Kelmickaite herself, the film reveals not only the phenomenon of her personality, but also the history of an entire generation that cherished national identity.","Yra asmenybių, kurios savo buvimu sutelkia žmones kartu gaivinti ir puoselėti tautos atmintį ir tapatybę. Zita Kelmickaitė buvo viena tokių. Filmas „Zitai“ – tai kelionė į 1980–1990-ųjų Lietuvą, kai atgimstanti liaudies daina tapo tyliuoju ginklu ir svarbia kelio į Nepriklausomybę dalimi. Pasitelkiant niekur nematytą archyvinę medžiagą ir pačios Zitos Kelmickaitės balsą, filmas atskleidžia ne tik jos asmenybės fenomeną, bet ir visos kartos, puoselėjusios tautinę tapatybę, istoriją.",Vytautas V. Lansbergis,93,Lithuanian,4/26/2026 15:00,balzekas-museum-of-lithuanian-culture,to-zita.jpg,,https://youtu.be/7FA7gofvxDE?si=HJfRpd4MHdXpZG71